Production ID,Date,Product Type,Machine ID,Shift,Units Produced,Defects,Production Time Hours,Material Cost Per Unit,Labour Cost Per Hour,Energy Consumption kWh,Operator Count,Maintenance Hours,Down time Hours,Production Volume Cubic Meters,Scrap Rate,Rework Hours,Quality Checks Failed,Average Temperature C,Average Humidity Percent
1900-04-16,2020-04-16,Electronics,16,Swing,183,0,4.91,44.49,28.5,240.62,4,0.74,0.77,0.9,0.04,0.41,0,21.3,41.1
1900-04-17,2020-04-17,Electronics,14,Swing,186,9,15.54,36,21.44,201.4,3,,,2.33,0.032,0.38,1,20.5,39.4
1900-04-18,2020-04-18,Electronics,13,Day,95,7,10.08,33.94,21.52,122.05,3,1.38,,0.74,0.034,1.22,0,21.2,41.7
1900-04-19,2020-04-19,Electronics,13,Night,71,1,8.35,48.77,25.33,490.93,3,2.43,0.09,0.72,0.048,0.24,2,23.2,52.4
1900-04-20,2020-04-20,Electronics,13,Day,104,8,4.06,47.01,22.03,211.91,1,2.36,0.84,0.6,0.026,1.92,1,24,45.4
1900-04-21,2020-04-21,Appliances,12,Swing,52,3,13.25,15.86,26.65,283.28,2,,0.7,0.82,0.022,0.19,0,22.6,32.6
1900-04-22,2020-04-22,Textiles,7,Swing,139,1,14.11,39.69,23.51,137.69,1,4.42,1.22,2.38,0.014,,0,18.1,32.9
1900-04-23,2020-04-23,Electronics,16,Night,83,7,16.82,46.14,19.77,418.75,4,1.36,0.13,2.14,0.014,0.33,1,18.9,39.2
1900-04-24,2020-04-24,Furniture,17,Swing,169,,19.12,44.47,24.58,109.49,2,3.71,0.97,1.17,0.028,1.24,2,20.4,36.1
1900-04-25,2020-04-25,Textiles,8,Night,53,8,10.49,45.56,16.31,336,3,,,0.78,0.023,1.73,1,24.4,44.6
1900-04-26,2020-04-26,Automotive,4,Night,51,20,13.39,42.25,22.38,210.64,1,,0.62,1.62,0.031,0.41,0,22.2,58.9
1900-04-27,2020-04-27,Appliances,9,Day,107,3,2.5,49.55,20.11,238.15,1,1.85,2.49,0.75,0.012,0.26,1,23.6,50.6
1900-04-28,2020-04-28,Electronics,13,Day,149,0,10.6,20.91,21.04,309.98,4,4.23,2.98,1.85,0.037,1.26,1,21.2,57
1900-04-29,2020-04-29,Automotive,4,Night,190,0,4.03,16.37,25.12,287.55,1,0.37,1.32,2.27,0.01,0.19,1,24.5,46
1900-04-30,2020-04-30,Textiles,6,Night,86,5,1.02,13.03,17.43,264.34,2,2.58,0.29,1.55,0.01,1.74,2,19.9,49.4
1900-05-01,2020-05-01,Textiles,6,Swing,186,6,2.37,42.95,15.52,350.57,3,2.17,2.33,0.96,0.014,1.77,1,24,38.1
1900-05-02,2020-05-02,Appliances,12,Day,185,3,1.57,28.11,28.13,319.36,3,2.98,2.5,1.13,0.011,1.54,1,19.2,34.4
1900-05-03,2020-05-03,Appliances,10,Day,146,7,10.02,20.32,27.79,232.44,3,4.35,0.88,1.26,0.022,0.77,1,23.1,32.7
1900-05-04,2020-05-04,Electronics,15,Night,79,6,9.84,37.09,28.79,175.43,2,0.36,1.36,2.42,0.044,0.81,1,22.8,41.5
1900-05-05,2020-05-05,Furniture,17,Swing,146,1,5.58,10.03,25.64,162.41,3,4.9,1.06,2.22,0.016,0.43,0,18.8,37.5
1900-05-06,2020-05-06,Appliances,12,Night,130,4,11.7,17.87,28.26,114.68,1,3.3,2.92,1.59,0.043,1.29,1,23.9,34.1
1900-05-07,2020-05-07,Textiles,5,Night,173,7,2.83,25.14,19.85,278.02,4,,2.54,1.87,0.032,0.15,1,23.8,57.6
1900-05-08,2020-05-08,Automotive,1,Day,158,,7.71,18.49,17.25,169.9,4,1.99,0.82,0.7,0.015,1.51,1,24.1,34
1900-05-09,2020-05-09,Automotive,3,Day,71,7,2.05,23.7,25.42,452.87,3,4.71,2.01,0.87,0.046,0.4,2,19.8,31.5
1900-05-10,2020-05-10,Automotive,4,Night,117,6,1.15,16.62,20.29,269,4,1.66,1.87,1.6,0.031,1.82,0,19,32.5
1900-05-11,2020-05-11,Appliances,10,Day,165,4,14.5,10.16,19.1,350.61,1,3.87,1.45,0.75,0.033,1.48,2,21.2,30.2
1900-05-12,2020-05-12,Electronics,14,Swing,193,0,17.5,29.85,23.88,224.71,4,4.11,2.15,0.54,0.032,0.84,1,24,36.5
1900-05-13,2020-05-13,Textiles,7,Day,102,4,6.95,12.82,17.17,203.73,4,3.42,2.48,0.71,0.044,0.6,0,23.6,37.3
1900-05-14,2020-05-14,Appliances,10,Swing,56,7,16.93,38.81,23.89,426.5,2,3.79,2.84,0.71,0.042,0.49,0,22.8,49.8
1900-05-15,2020-05-15,Appliances,12,Night,94,5,15.44,12.46,28.1,247.73,1,0.73,,1.98,0.014,1.38,2,24.9,33.8
1900-05-16,2020-05-16,Furniture,20,Night,131,6,18.84,40.66,25.33,138.14,2,0.57,1.96,2.2,0.035,1.79,0,22.5,36.2
1900-05-17,2020-05-17,Automotive,4,Day,124,1,5.72,12.46,22.65,229.39,1,2.8,2.22,2.13,0.049,1.89,2,24.3,57.1
1900-05-18,2020-05-18,Textiles,8,Day,143,4,12.06,48.93,22.3,147.61,2,1.7,,2.48,0.037,1.93,0,21.2,31
1900-05-19,2020-05-19,Automotive,4,Night,80,4,5.85,24.46,19.78,285.32,2,4.3,2.48,2.27,0.044,1.88,2,23.5,31.4
1900-05-20,2020-05-20,Electronics,16,Swing,128,8,21.03,22,26.39,217.05,2,,0.05,1.35,0.019,1.42,1,22.8,42.3
1900-05-21,2020-05-21,Electronics,14,Day,106,2,15.85,22.22,29.02,428.12,1,3.33,2.09,1.4,0.037,0.39,2,18.3,56
1900-05-22,2020-05-22,Appliances,11,Night,62,4,2.96,19.67,22.12,126.14,4,1.22,0.53,1.12,0.037,,0,20.6,59.5
1900-05-23,2020-05-23,Electronics,13,Swing,56,1,9.41,17.09,28.25,493.79,1,,1.2,0.94,0.014,0.77,1,23.8,34.5
1900-05-24,2020-05-24,Textiles,7,Day,145,0,1.88,43.18,15.34,418.21,1,0.97,2.47,2.08,0.025,1.32,1,20.6,48.4
1900-05-25,2020-05-25,Appliances,12,Night,100,3,23.65,28.45,17.85,366.58,2,,2.41,1.78,0.026,0.89,2,20.1,30.1
1900-05-26,2020-05-26,Textiles,8,Night,175,1,19.94,13.99,15.78,121.22,1,,1.37,0.78,0.04,0.69,1,18.2,58.6
1900-05-27,2020-05-27,Automotive,2,Swing,133,8,9.12,42.75,23.02,491.93,4,4.99,,1.9,0.032,0.71,0,19.1,48
1900-05-28,2020-05-28,Electronics,15,Day,160,3,9.84,44.43,19.95,404.41,2,2.6,1.13,0.89,0.017,1.11,2,19.1,37.2
1900-05-29,2020-05-29,Electronics,16,Day,131,2,9.5,46.94,27.63,280.61,4,0.61,1.02,1.33,0.024,1.5,0,24.5,44.7
1900-05-30,2020-05-30,Appliances,9,Swing,174,0,16.12,11.87,25.23,431.5,3,3.98,0.6,2.28,0.012,0.54,0,18.9,48.9
1900-05-31,2020-05-31,Automotive,4,Night,106,5,9.01,28.97,24.29,235.36,1,0.6,0.39,0.63,0.024,1.09,0,21.4,30.3
1900-06-01,2020-06-01,Electronics,16,Day,63,,5.89,34.18,16.88,263.37,2,1.23,0.95,1.24,0.011,0.34,0,23.4,32.2
1900-06-02,2020-06-02,Electronics,16,Night,105,2,7.16,60,19.17,368.74,3,4.76,1.23,0.55,0.049,2,0,21.4,59.1
1900-06-03,2020-06-03,Textiles,5,Swing,195,1,19.3,34.81,25.88,468.9,1,1.07,2.18,1.39,0.042,,1,20.9,53.4
1900-06-04,2020-06-04,Electronics,14,Day,172,1,3.37,28.31,18.03,467.77,1,2.85,1.7,1.85,0.048,0.45,0,24.3,45.9
1900-06-05,2020-06-05,Appliances,10,Night,146,3,10.89,40.54,25.49,194.47,3,4.52,1.69,0.5,0.028,1.27,1,24.3,36.8
1900-06-06,2020-06-06,Textiles,5,Swing,103,5,10.1,28.53,28.51,356.8,1,3.56,2.54,1.81,0.025,0.55,2,23.9,32.5
1900-06-07,2020-06-07,Textiles,7,Night,102,,13.81,21.42,28.05,453.75,3,3.85,2.7,1.8,0.049,1.34,1,21.4,53.6
1900-06-08,2020-06-08,Appliances,10,Day,143,1,2.4,33.35,15.45,141.52,2,1.25,1.2,2.31,0.044,0.46,2,22,56.6
1900-06-09,2020-06-09,Appliances,12,Night,67,8,1.77,30.45,28.21,174.3,1,,2.53,1.38,0.038,0.26,2,19.3,37.6
1900-06-10,2020-06-10,Automotive,3,Day,180,7,16.98,29.51,19.37,414.5,2,1.52,2.46,0.82,0.024,0.5,1,24,34.8
1900-06-11,2020-06-11,Appliances,9,Night,179,7,13.03,17.67,21.53,324.91,4,2.54,,1.86,0.02,1.13,2,19.3,58.9
1900-06-12,2020-06-12,Automotive,1,Night,165,,3.79,43.82,22.96,122.57,2,2.39,0.15,1.27,0.03,0.91,1,19.2,43.3
1900-06-13,2020-06-13,Furniture,17,Night,188,9,9.86,12.28,21.16,313.82,4,2.45,2.77,0.85,0.019,1.5,1,24.8,53
1900-06-14,2020-06-14,Furniture,20,Day,51,2,13.05,12.14,24.43,468.59,2,4.06,,1.76,0.017,0.51,2,20.5,43
1900-06-15,2020-06-15,Electronics,13,Day,144,3,9.12,15.6,27.52,173.16,2,2.1,1.79,0.73,0.023,,2,24.7,38
1900-06-16,2020-06-16,Furniture,18,Swing,146,6,3.62,14.48,25.44,127.38,2,4.17,1.03,0.82,0.014,0.75,2,24.6,44.4
1900-06-17,2020-06-17,Textiles,8,Swing,180,5,4.46,45.31,18.58,478.57,2,4.56,1.98,1.97,0.03,0.94,0,24.3,43.5
1900-06-18,2020-06-18,Textiles,8,Night,109,2,6.64,41.61,28.78,251.93,4,,0.16,1.88,0.042,1.83,1,24.4,45.7
1900-06-19,2020-06-19,Electronics,15,Night,105,,1.03,21.39,25.42,410.52,2,4.58,2.26,1.7,0.048,1.59,1,22.2,57
1900-06-20,2020-06-20,Furniture,17,Swing,178,0,17.76,20.62,17.05,342.55,3,1.02,0.62,2.07,0.027,0.5,0,18.3,33.2
1900-06-21,2020-06-21,Furniture,17,Swing,61,2,16.79,26.22,25.95,174.91,2,3.84,0.29,0.8,0.048,1.41,2,24.1,45.6
1900-06-22,2020-06-22,Textiles,8,Day,161,0,21.27,30.85,15.51,180.66,2,,2.7,0.66,0.038,0.24,0,24.8,31.8
1900-06-23,2020-06-23,Automotive,1,Day,182,2,3.63,23.23,24.37,397.07,1,4.03,1.67,2.48,0.012,2,1,23.6,48.2
1900-06-24,2020-06-24,Electronics,13,Day,120,8,15.16,46.22,28.87,353.8,2,1.95,1.47,1.53,0.027,1.78,2,22.6,47.8
1900-06-25,2020-06-25,Electronics,14,Night,107,1,17.61,11.93,23.62,105.96,1,,1.85,2.44,0.048,1.69,2,19.4,57.9
1900-06-26,2020-06-26,Appliances,11,Day,67,1,14.96,48.45,19.6,298.09,3,0.57,2.98,1.69,0.02,,0,24.6,55.3
1900-06-27,2020-06-27,Appliances,12,Swing,86,1,9.18,32.78,29.82,467.53,1,2.57,0.58,1.92,0.014,0.4,1,18.4,36.4
1900-06-28,2020-06-28,Furniture,20,Swing,195,1,8.5,47.8,27.13,313,2,1.41,0.63,1.09,0.022,,0,20.9,42.2
1900-06-29,2020-06-29,Electronics,13,Swing,104,0,4.18,37.83,18.72,111.19,2,2.42,2.12,2.24,0.034,0.92,2,20.5,34.7
1900-06-30,2020-06-30,Appliances,10,Swing,123,0,23.34,16.07,16.08,295.73,3,3.94,2.48,1.27,0.043,0.83,1,24,50.8
1900-07-01,2020-07-01,Appliances,12,Swing,105,,3.55,37.74,29.49,118.1,2,1.43,2.81,2.26,0.029,,1,18.8,47.6
