city,date,aqi,pm2_5,pm10,no2,o3,temperature,humidity,hospital_admissions,population_density,hospital_capacity
Delhi,2020-08-05,251,32.9,52.2,33.5,38.6,6.1,54,8,Urban,134
Tokyo,2020-08-06,121,17.8,59.8,31.9,54.4,-0.5,57,4,Urban,1640
Beijing,2020-08-07,99,4.6,74.0,22.7,39.2,40.0,51,6,Urban,862
Beijing,2020-08-08,449,35.8,39.6,38.7,43.0,-0.0,29,3,Suburban,206
Beijing,2020-08-09,229,31.9,44.6,23.8,36.2,23.1,44,2,Urban,1881
Mexico City,2020-08-10,336,32.4,54.4,11.5,30.1,30.2,68,5,Urban,1592
Cairo,2020-08-11,164,28.6,37.8,16.0,46.4,10.7,74,13,Suburban,573
Delhi,2020-08-12,339,27.8,25.7,43.3,58.2,3.1,79,7,Urban,132
Tokyo,2020-08-13,107,42.6,57.0,37.9,43.5,-0.5,57,7,Urban,641
Delhi,2020-08-14,214,18.6,10.0,22.0,44.5,-1.9,64,6,Urban,182
Mexico City,2020-08-15,332,36.4,43.3,4.7,42.2,26.3,28,18,Rural,1139
Mexico City,2020-08-16,94,9.1,43.3,42.5,35.0,20.1,57,7,Urban,1831
Delhi,2020-08-17,232,63.7,46.4,45.2,46.6,13.3,34,12,Urban,1094
Delhi,2020-08-18,262,46.5,17.9,30.2,30.2,27.1,25,13,Urban,1720
Beijing,2020-08-19,215,25.3,41.5,31.1,36.9,-3.8,77,4,Urban,972
Cairo,2020-08-20,129,29.9,46.9,31.0,31.0,-3.6,69,8,Urban,1842
Mexico City,2020-08-21,234,47.0,52.7,25.3,42.6,23.6,52,7,Urban,1679
Tokyo,2020-08-22,126,49.1,49.2,4.4,29.6,21.7,45,6,Suburban,1363
London,2020-08-23,326,26.9,53.3,34.7,42.8,30.8,34,4,Urban,1852
Beijing,2020-08-24,147,26.8,34.4,31.2,38.0,27.6,87,7,Urban,166
Los Angeles,2020-08-25,399,26.0,32.6,38.9,23.3,-4.3,86,3,Urban,570
Delhi,2020-08-26,152,46.0,30.2,35.1,60.7,-2.1,24,11,Urban,1858
Delhi,2020-08-27,231,30.9,51.8,46.9,25.6,9.3,35,14,Suburban,285
London,2020-08-28,251,43.1,75.3,20.1,29.6,35.5,39,6,Urban,367
Los Angeles,2020-08-29,271,40.9,5.7,14.4,45.3,34.0,78,2,Rural,1112
Delhi,2020-08-30,76,28.8,74.7,45.3,45.7,27.0,34,7,Rural,378
Beijing,2020-08-31,322,15.3,80.1,13.7,27.2,37.0,78,6,Urban,1688
Mexico City,2020-09-01,262,50.9,7.5,20.4,56.8,9.4,22,9,Suburban,1982
London,2020-09-02,87,37.1,72.6,47.1,15.4,9.9,72,14,Suburban,330
Mexico City,2020-09-03,316,38.0,59.1,22.8,24.5,14.8,26,10,Suburban,1889
Beijing,2020-09-04,385,34.8,57.2,50.2,48.0,6.1,26,10,Urban,710
Beijing,2020-09-05,244,16.4,60.3,39.1,40.1,34.8,65,5,Suburban,1537
Beijing,2020-09-06,16,29.0,18.5,37.2,16.5,16.7,25,6,Urban,538
Mexico City,2020-09-07,339,39.1,45.0,30.8,37.4,29.6,81,9,Urban,1947
London,2020-09-08,118,27.1,25.1,12.1,44.7,38.1,29,5,Urban,1907
Beijing,2020-09-09,307,40.6,53.5,25.2,44.9,24.1,21,7,Urban,1370
Delhi,2020-09-10,492,33.1,8.3,34.3,38.4,35.7,86,6,Urban,305
Delhi,2020-09-11,162,14.4,59.7,44.3,20.9,0.0,87,7,Urban,112
Los Angeles,2020-09-12,312,7.4,60.5,28.1,46.7,37.5,76,8,Suburban,587
London,2020-09-13,426,41.1,58.2,28.7,4.2,22.3,83,10,Suburban,801
Delhi,2020-09-14,210,23.1,14.4,37.7,42.2,11.2,42,8,Urban,1626
Delhi,2020-09-15,204,30.6,48.9,31.6,35.3,38.9,40,8,Suburban,1317
Mexico City,2020-09-16,368,22.5,34.8,36.5,49.1,13.2,67,10,Urban,575
Delhi,2020-09-17,491,50.5,48.1,32.9,58.4,6.5,79,6,Suburban,1354
London,2020-09-18,195,14.7,19.8,52.4,56.6,16.9,50,1,Urban,694
Beijing,2020-09-19,257,48.7,55.8,1.4,36.8,21.0,56,11,Urban,1674
Delhi,2020-09-20,180,13.9,12.2,31.4,27.6,35.9,46,2,Urban,1703
Tokyo,2020-09-21,105,43.6,77.1,20.1,50.9,24.6,94,11,Suburban,1700
Delhi,2020-09-22,375,32.6,46.5,26.3,31.1,9.6,21,2,Urban,1865
Delhi,2020-09-23,11,36.3,55.7,38.8,14.5,13.1,46,9,Urban,1096
Delhi,2020-09-24,233,39.3,65.0,37.3,31.4,6.5,69,2,Suburban,1106
Delhi,2020-09-25,354,32.4,52.6,17.5,32.8,23.4,75,10,Suburban,1997
Delhi,2020-09-26,235,45.2,73.7,31.5,45.7,8.3,71,10,Urban,1136
Delhi,2020-09-27,51,28.6,54.7,25.9,35.0,6.6,37,9,Suburban,1019
Delhi,2020-09-28,55,16.9,81.9,39.2,39.6,-2.0,47,10,Suburban,612
Delhi,2020-09-29,179,27.9,43.2,52.7,16.8,26.7,52,5,Suburban,1172
Mexico City,2020-09-30,412,28.6,29.8,38.9,25.7,25.2,34,8,Urban,415
Mexico City,2020-10-01,139,38.4,56.7,20.4,37.1,-2.3,70,0,Suburban,1123
Beijing,2020-10-02,173,17.9,65.4,30.9,33.5,0.8,24,12,Suburban,334
Beijing,2020-10-03,444,48.9,32.2,18.8,24.2,11.3,26,10,Suburban,1743
Beijing,2020-10-04,282,54.8,29.7,14.8,56.7,19.7,75,9,Rural,947
London,2020-10-05,459,30.6,10.1,40.4,37.3,19.9,28,7,Urban,245
London,2020-10-06,204,43.5,67.2,21.9,23.7,26.1,82,6,Urban,662
Delhi,2020-10-07,261,66.4,58.8,25.1,61.5,29.6,85,22,Rural,1499
Delhi,2020-10-08,304,37.4,25.8,33.6,48.9,38.8,90,10,Suburban,62
Delhi,2020-10-09,398,16.1,33.1,44.0,57.8,-4.7,66,8,Urban,485
Delhi,2020-10-10,263,30.1,50.9,41.1,46.2,37.7,31,12,Urban,1352
Mexico City,2020-10-11,203,25.3,52.5,40.5,40.5,1.6,88,6,Urban,1088
Beijing,2020-10-12,479,38.4,77.8,16.7,22.1,12.4,60,10,Suburban,552
Delhi,2020-10-13,157,52.9,56.7,29.3,27.7,39.0,28,13,Suburban,944
Beijing,2020-10-14,478,8.3,52.6,52.4,12.4,25.8,26,0,Suburban,491
Beijing,2020-10-15,347,55.1,22.6,28.2,46.4,0.5,56,10,Suburban,1566
Delhi,2020-10-16,85,38.8,38.1,26.0,24.3,25.4,72,11,Urban,1614
London,2020-10-17,337,45.6,72.6,21.2,25.5,6.6,27,7,Urban,388
Delhi,2020-10-18,446,41.5,28.9,41.8,22.5,34.4,54,8,Rural,201
Tokyo,2020-10-19,66,25.5,61.5,36.9,58.6,15.5,61,13,Urban,1132
Delhi,2020-10-20,219,42.2,45.2,10.2,57.4,33.6,73,12,Urban,219
London,2020-10-21,442,50.4,46.0,41.7,56.6,-3.3,67,15,Urban,1041
Tokyo,2020-10-22,234,53.4,26.5,32.4,18.6,25.0,69,13,Urban,1202
Cairo,2020-10-23,269,51.7,42.5,35.3,43.4,2.4,68,17,Rural,1082
London,2020-10-24,369,27.6,47.1,21.8,43.4,9.3,93,0,Urban,1054
Los Angeles,2020-10-25,33,54.9,17.5,35.8,43.9,11.4,41,10,Urban,252
Mexico City,2020-10-26,253,50.9,2.7,21.4,53.2,11.9,23,8,Suburban,1583
Los Angeles,2020-10-27,17,48.9,44.1,3.0,43.6,29.1,21,11,Suburban,420
Delhi,2020-10-28,359,17.3,31.3,11.0,38.1,27.7,50,6,Urban,1004
Beijing,2020-10-29,263,27.1,44.4,43.4,51.3,9.9,50,9,Urban,225
Beijing,2020-10-30,209,37.2,31.9,25.7,30.7,36.0,23,7,Urban,1929
London,2020-10-31,205,47.9,46.7,12.5,43.0,32.0,67,5,Urban,1331
Beijing,2020-11-01,361,13.3,34.4,21.2,42.0,12.3,30,5,Urban,1577
Beijing,2020-11-02,403,18.0,15.8,14.4,32.5,10.3,59,3,Urban,1580
